literature_review,references,title_literaturereview,abstract_literaturereview,title_review,abstract_review,title_survey,abstract_survey,title_experiment,abstract_experiment,title_interview,abstract_interview
1,,0,0,0,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0
1,"['10.1016/b978-0-08-052029-2.50007-3', '10.2308/aud.2004.23.1.141', '10.4018/jdm.2001070101', '10.1016/s0268-4012(01)00047-0', '10.1145/289444.289505', '10.1016/s0378-7206(00)00057-4', '10.17705/1cais.00803', '10.17705/1cais.01212', '10.1037/13978-000', '10.1111/j.1540-5915.1998.tb01346.x', '10.1145/174666.174668', '10.1002/(sici)1097-4571(199705)48:5<454::aid-asi11>3.0.co;2-z', '10.1145/513665.513669', '10.1145/513665.513666', '10.1145/505151.505153', '10.1145/504704.504707', '10.1080/10864415.2003.11044288', '10.1080/10864415.2004.11044299', '10.1080/10864415.2004.11044303', '10.1080/10864415.2004.11044304', '10.4018/978-1-59140-184-1.ch010', '10.1016/s1386-5056(99)00056-8', '10.1016/s0923-4748(03)00008-0', '10.1016/s1386-5056(99)00056-8', '10.1057/palgrave.ejis.3000288', '10.1145/1435417.1435447', '10.2307/3250928', '10.2307/3250969', '10.4018/irmj.2000010104', '10.1287/orsc.9.2.160', '10.1287/orsc.5.4.502', '10.1287/orsc.1050.0146', '10.1287/orsc.11.4.404.14600', '10.2307/249668', '10.2307/249689', '10.1145/567352.567358', '10.4018/978-1-59140-044-8.ch002', '10.1145/371920.372181', '10.1080/07421222.2002.11045695', '10.1287/isre.1050.0044', '10.1287/isre.1040.0022', '10.1504/ijmc.2004.005161', '10.1504/ijmc.2006.008944', '10.1504/ijmc.2007.011492', '10.1504/ijmc.2004.004485', '10.1504/ijmc.2003.002457', '10.1504/ijmc.2003.002459', '10.2307/2392469', '10.2307/2091811', '10.1007/s10257-007-0074-9', '10.1007/s10257-004-0046-2', '10.1007/s10257-004-0043-5', '10.1007/s10257-004-0044-4', '10.1145/953460.953489', '10.1145/953460.953484', '10.1145/953460.953488', '10.1145/953460.953490', '10.1145/953460.953485', '10.1142/s0219649208001981', '10.1007/s00779-003-0253-8', '10.1207/s15327051hci16234_07', '10.1111/j.1467-6486.1989.tb00725.x', '10.2307/255923', '10.1057/palgrave.jit.2000072', '10.1057/palgrave.jit.2000056', '10.1057/palgrave.jit.2000043', '10.1057/palgrave.jit.2000002', '10.1080/0268396032000101171', '10.1177/009207002236910', '10.1287/mnsc.36.2.123', '10.1145/1229855.1229856', '10.1145/972648.972652', '10.1145/966930.966933', '10.1016/s0923-4748(03)00008-0', '10.1145/344241.344244', '10.1287/mnsc.41.12.1827', '10.1016/s0164-1212(98)10048-1', '10.1037/0021-9010.79.1.87', '10.1109/3468.852439', '10.1145/501317.501353']",0,0,0,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0
1,"['10.1108/13673279810249350', '10.1016/0268-4012(94)00003-c', '10.2307/41166012', '10.2307/41166000', '10.1017/cbo9780511803932', '10.2307/41165946', '10.2307/41165957', '10.1016/s0378-7206(98)00080-9', '10.1504/ijtm.1999.002735', '10.1108/eum0000000004589', '10.1006/ijhc.1999.0281', '10.1016/s0950-7051(99)00026-x', '10.5465/amr.1991.4278992', '10.1006/ijhc.1999.0278', '10.1080/095373299107401', '10.1080/095373299107546', '10.1093/icc/6.3.595', '10.1016/0959-8022(95)90013-6', '10.4018/irmj.2000010101', '10.1287/orsc.2.1.88', '10.1287/orsc.5.1.14', '10.1145/276203.292488', '10.1016/s0957-4174(97)00019-5', '10.1016/s0957-4174(97)00023-7', '10.1287/isre.6.2.85', '10.1002/(sici)1099-1441(199906)6:2<91::aid-kpm54>3.0.co;2-m', '10.1207/s15516709cog1701_5', '10.1016/b978-0-7506-9849-8.50003-4', '10.1016/s0167-9236(99)00037-8', '10.1016/s0167-9236(99)00041-x', '10.1016/s0167-9236(99)00038-x', '10.1016/s0167-9236(99)00042-1', '10.1016/s0167-9236(99)00036-6', '10.1016/s0167-9236(99)00043-3', '10.1177/017084069501600605', '10.1111/j.1467-6486.1994.tb00638.x', '10.1111/j.1467-6486.1992.tb00686.x', '10.1177/0170840699202003', '10.1108/09534819610156813', '10.1002/smj.4250171104', '10.1002/smj.4250151006', '10.4018/978-1-878289-73-5', '10.1016/s0263-2373(99)00019-5', '10.1177/0170840600213001', '10.1080/13658810050024296']",0,0,0,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0
1,"['10.1111/j.1540-6261.1978.tb03404.x', '10.1243/pime_proc_1986_200_044_02', '10.1080/002075497195795', '10.1080/07399018908960166', '10.1007/978-1-349-21555-3_11', '10.1016/0950-5849(96)85006-3', '10.1080/00207548408942514', '10.1080/00207548608919787', '10.1007/978-1-4899-3208-2_5', '10.1016/s0378-7206(99)00014-2', '10.1111/j.1468-5957.1981.tb00824.x', '10.1109/17.53712', '10.1108/00251749910269375', '10.1108/09576059910256286', '10.1108/09576059810202231', '10.1016/0166-3615(93)90022-s', '10.1504/ijcat.1999.000193', '10.1057/ejis.1996.30', '10.1057/palgrave.ejis.3000384', '10.1080/00137919208903086', '10.1080/00137918408902894', '10.1016/0923-4748(95)00003-5', '10.1057/palgrave.ejis.3000304', '10.1038/sj.ejis.3000309', '10.1080/02683960050153183', '10.1080/026839698344927', '10.1080/026839600344294', '10.1057/jit.1992.16', '10.1057/jit.1990.45', '10.1057/jit.1994.23', '10.1093/acprof:oso/9780198289531.001.0001', '10.1016/s0926-5805(01)00058-9', '10.1093/oxfordjournals.oep.a042181', '10.2307/248847', '10.1016/0278-6125(92)90004-y', '10.1016/0305-0483(94)90010-8', '10.1016/0167-188x(91)90001-i', '10.1016/0925-5273(95)00069-7', '10.1080/00207549208948108']",0,0,0,0,0,0,0,0,0,0
1,,0,0,1,0,0,0,0,0,0,0
1,"['10.1177/017084069301400504', '10.1016/s0305-0483(99)00042-0', '10.1016/0305-0483(95)00017-i', '10.1287/mnsc.46.2.186.11926', '10.1016/s0019-8501(01)00190-0', '10.1108/09556220210424233', '10.1016/s0378-7206(99)00017-8', '10.1016/s0378-7206(96)01074-9', '10.1016/s0378-7206(97)00006-2', '10.1016/s0378-7206(98)00053-6', '10.1016/s0378-7206(00)00061-6', '10.1016/s0378-7206(98)00054-8', '10.1016/0737-6782(92)90006-x', '10.1016/0378-7206(95)00042-9', '10.1016/s0378-7206(97)00026-8', '10.1016/0378-7206(95)00039-9', '10.1016/s0378-7206(01)00143-4', '10.1016/0378-7206(94)90055-8', '10.1109/17.985744', '10.1109/17.649864', '10.1109/17.820730', '10.1109/17.482082', '10.1109/17.649867', '10.1109/17.482083', '10.1109/17.865899', '10.1109/17.511836', '10.1111/j.1540-5915.1997.tb01315.x', '10.1111/j.1540-5915.1993.tb01295.x', '10.1111/j.1540-5915.2002.tb01646.x', '10.1111/j.1540-5915.2000.tb00939.x', '10.1086/225469', '10.1016/0378-7206(92)90029-f', '10.1016/0378-7206(92)90071-m', '10.1016/0378-7206(92)90055-k', '10.1016/0378-7206(94)90040-x', '10.1111/j.1540-5915.1997.tb01322.x', '10.1111/j.1540-5915.1996.tb01822.x', '10.2307/977254', '10.1057/ejis.1996.9', '10.1057/ejis.1995.11', '10.1057/palgrave.ejis.3000260', '10.2307/2095101', '10.4018/joeuc.2000100103', '10.2307/30036540', '10.2307/249688', '10.4018/irmj.1992010102', '10.4018/irmj.1993070102', '10.4018/irmj.1998070101', '10.4018/irmj.2002010101', '10.4018/irmj.2001070104', '10.2307/249720', '10.2307/249740', '10.2307/249749', '10.2307/249498', '10.2307/249629', '10.2307/3250951', '10.2307/249751', '10.2307/249798', '10.2307/249008', '10.1287/isre.4.1.88', '10.1287/isre.8.3.273', '10.1287/isre.3.4.334', '10.1287/isre.9.4.362', '10.1287/isre.2.1.1', '10.1287/isre.2.3.192', '10.1287/isre.10.3.255', '10.1287/isre.6.2.144', '10.1287/isre.8.3.288', '10.1006/imms.1993.1022', '10.2307/2393923', '10.17705/1jais.00030', '10.1080/07421222.1993.11517994', '10.1080/07421222.1993.11518004', '10.1080/07421222.1994.11518035', '10.1080/07421222.1994.11518044', '10.1080/07421222.1995.11518061', '10.1080/07421222.1994.11518046', '10.1080/07421222.1996.11518115', '10.1080/07421222.1996.11518129', '10.1080/07421222.1996.11518107', '10.1080/07421222.1996.11518128', '10.1080/07421222.1995.11518076', '10.1080/07421222.1995.11518086', '10.1287/isre.12.2.208.9697', '10.1016/s0167-9236(97)00006-7', '10.1016/s0167-9236(00)00076-2', '10.1016/0167-9236(94)00007-f', '10.1016/0167-9236(94)e0032-m', '10.1016/0305-0483(94)90074-4', '10.1016/0305-0483(93)90040-r', '10.1016/0030-5073(76)90016-7', '10.1111/1540-5885.920148', '10.1287/mnsc.42.1.85', '10.1016/0749-5978(91)90020-t', '10.1287/mnsc.35.8.982', '10.1145/217278.217284', '10.1145/217278.217291', '10.1145/217278.217285', '10.1145/298752.298757', '10.1145/506724.506727', '10.1145/217278.217288', '10.1287/mnsc.41.8.1328', '10.1287/mnsc.40.9.1069', '10.1002/smj.4250130104', '10.2307/2555999', '10.4018/jgim.1998070104']",0,0,1,1,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0
1,,0,0,1,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0
1,,0,0,0,0,0,0,0,0,0,0
1,"['10.1016/s0305-0483(99)00057-2', '10.1007/978-0-387-35309-8_6', '10.1016/0024-6301(78)90002-x', '10.2307/41165887', '10.1145/186281.186286', '10.1007/bf00186471', '10.1207/s15327744joce0701_4', '10.2307/41166722', '10.1016/s0378-7206(98)00040-8', '10.1007/bf00988593', '10.1177/030630709502000305', '10.1016/s0378-7206(03)00098-3', '10.1016/0378-7206(82)90039-8', '10.1007/978-3-662-40230-6_16', '10.1108/eb054798', '10.1057/palgrave.ejis.3000310', '10.5465/amr.1989.4308385', '10.1057/palgrave.ejis.3000600', '10.1057/palgrave.ejis.3000604', '10.1057/palgrave.ejis.3000601', '10.1057/palgrave.ejis.3000603', '10.1057/palgrave.ejis.3000605', '10.1057/palgrave.ejis.3000523', '10.2307/256926', '10.1177/026839629000500103', '10.1057/jit.1990.3', '10.2307/249774', '10.2307/249598', '10.2307/249578', '10.2307/249750', '10.1109/tse.1986.6312881', '10.1145/211782.211789', '10.1147/sj.423.0414', '10.1080/10919399409540221', '10.17705/1jais.00086', '10.17705/1jais.00084', '10.1080/07421222.2000.11045632', '10.1080/07421222.1994.11518038', '10.1080/07421222.1995.11518080', '10.2307/2392364', '10.1177/002188637701300202', '10.1108/eb039060', '10.1109/hicss.1997.661572', '10.1111/j.1467-6486.1991.tb00271.x', '10.1287/mnsc.39.4.395', '10.1002/smj.4250080209', '10.1016/s0019-8501(97)00085-0', '10.1287/mnsc.32.5.572']",0,0,0,0,0,0,0,0,0,0
